Vict Sex,Vict Age,TIME OCC,AREA
F,36,2230,3
M,25,330,1
X,0,1200,1
F,76,1730,15
X,31,415,19
F,25,30,1
M,23,1315,1
X,0,40,1
M,23,200,1
X,0,1925,17
M,29,2200,1
M,35,955,1
M,41,1355,1
X,0,1638,1
F,24,1805,1
F,24,730,19
F,34,2018,11
F,29,1900,5
M,46,1200,9
M,66,1330,1
M,40,1735,9
M,31,1730,1
M,27,1445,1
F,46,1,10
M,62,700,1
F,34,1200,10
M,43,1830,11
M,71,2000,1
F,50,2000,8
F,19,400,1
M,51,600,1
M,27,100,8
F,33,2020,11
,0,2000,1
M,69,1500,1
M,39,1200,10
M,19,811,7
F,57,1255,9
X,0,2100,1
F,78,1000,8
M,0,1930,1
M,24,55,1
M,52,2040,1
F,38,920,1
M,55,1645,1
,0,1700,14
F,66,1135,1
M,34,420,2
F,50,115,12
M,35,1600,1
M,40,315,4
F,27,430,4
F,51,1900,11
M,0,1200,1
M,44,245,1
M,41,325,1
M,57,30,1
M,25,230,1
M,24,2200,8
F,34,230,1
F,18,500,1
M,57,1200,1
M,55,344,1
M,23,1030,1
M,55,1200,1
F,54,300,3
X,0,905,1
X,0,905,1
F,22,200,1
M,28,2330,1
F,42,2005,8
M,43,2045,1
M,46,1940,1
F,56,1800,1
F,55,2030,1
M,55,1830,1
X,0,2315,1
X,0,545,1
,0,345,1
M,67,2000,1
M,57,300,1
F,37,2030,1
X,0,820,1
M,60,1225,1
M,0,1305,1
M,51,1200,1
F,52,1203,9
M,61,1240,1
M,38,800,1
F,36,1600,1
M,59,1450,1
M,32,1215,1
F,44,1130,1
F,60,320,1
F,24,528,1
M,31,1915,1
M,30,2000,1
M,50,2000,1
F,50,125,18
